sheet_row,title,eshop_url,status
109,"Snipperclips – Cut it out, together",https://www.nintendo.com/us/store/products/snipperclips-cut-it-out-together-switch/,verified
110,"Snipperclips – Cut it out, together (DLC)",https://www.nintendo.com/us/store/products/snipperclips-cut-it-out-together-switch/,"verified — DIFFERS from formula, paste this into F"
111,Sonic Racing: CrossWorlds,https://www.nintendo.com/us/store/products/sonic-racing-crossworlds-switch/,verified
112,Sonic Racing: CrossWorlds - Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/sonic-racing-crossworlds-nintendo-switch-2-edition-switch-2/,verified
113,South of Midnight Weaver's Edition,https://www.nintendo.com/us/store/products/south-of-midnight-weavers-edition-switch-2/,"verified — DIFFERS from formula, paste this into F"
114,Spiritfarer,https://www.nintendo.com/us/store/products/spiritfarer-switch/,verified
115,Splatoon 3,https://www.nintendo.com/us/store/products/splatoon-3-switch/,verified
116,Splatoon 3: Expansion Pass (DLC),https://www.nintendo.com/us/store/products/splatoon-3-expansion-pass-dlc-switch/,NOT FOUND — check manually
117,Splatoon Raiders,https://www.nintendo.com/us/store/products/splatoon-raiders-switch-2/,"verified — DIFFERS from formula, paste this into F"
118,Star Fox,https://www.nintendo.com/us/store/products/star-fox-switch-2/,"verified — DIFFERS from formula, paste this into F"
119,stitch.,https://www.nintendo.com/us/store/products/stitch-switch/,verified
120,STORY OF SEASONS: Grand Bazaar,https://www.nintendo.com/us/store/products/story-of-seasons-grand-bazaar-switch/,verified
121,STORY OF SEASONS: Grand Bazaar – Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/story-of-seasons-grand-bazaar-nintendo-switch-2-edition-switch-2/,verified
122,Stray,https://www.nintendo.com/us/store/products/stray-switch/,verified
123,Super Mario Bros. Wonder,https://www.nintendo.com/us/store/products/super-mario-bros-wonder-switch/,verified
124,Super Mario Bros. Wonder Switch 2 Edition + Meetup in Bellabel Park,https://www.nintendo.com/us/store/products/super-mario-bros-wonder-switch-2-edition-meetup-in-bellabel-park-switch-2/,NOT FOUND — check manually
125,Super Mario Bros. Wonder Switch 2 Edition + Meetup in Bellabel Park (Upgrade Pack),https://www.nintendo.com/us/store/products/super-mario-bros-wonder-switch-2-edition-meetup-in-bellabel-park-upgrade-pack-switch-2/,NOT FOUND — check manually
126,Super Mario Maker 2,https://www.nintendo.com/us/store/products/super-mario-maker-2-switch/,verified
127,Super Mario Party,https://www.nintendo.com/us/store/products/super-mario-party-switch/,verified
128,Super Smash Bros. Ultimate,https://www.nintendo.com/us/store/products/super-smash-bros-ultimate-switch/,verified
129,Super Smash Bros. Ultimate: Fighters Pass Vol. 1 (DLC),https://www.nintendo.com/us/store/products/super-smash-bros-ultimate-fighters-pass-vol-1-dlc-switch/,NOT FOUND — check manually
130,Super Smash Bros. Ultimate: Fighters Pass Vol. 2 (DLC),https://www.nintendo.com/us/store/products/super-smash-bros-ultimate-fighters-pass-vol-2-dlc-switch/,NOT FOUND — check manually
131,Tales of ARISE - Beyond the Dawn Edition,https://www.nintendo.com/us/store/products/tales-of-arise-beyond-the-dawn-edition-switch-2/,"verified — DIFFERS from formula, paste this into F"
132,Tales of Vesperia: Definitive Edition,https://www.nintendo.com/us/store/products/tales-of-vesperia-definitive-edition-switch/,verified
133,Tetris Effect: Connected,https://www.nintendo.com/us/store/products/tetris-effect-connected-switch/,verified
134,The Adventures of Elliot: The Millennium Tales,https://www.nintendo.com/us/store/products/the-adventures-of-elliot-the-millennium-tales-switch-2/,"verified — DIFFERS from formula, paste this into F"
135,The Elder Scrolls V: Skyrim Anniversary Edition,https://www.nintendo.com/us/store/products/the-elder-scrolls-v-skyrim-anniversary-edition-switch/,verified
136,The Exit 8,https://www.nintendo.com/us/store/products/the-exit-8-switch/,verified
137,The Hidden Treasure of Area Zero DLC for Pokemon Scarlet & Pokemon Violet (DLC),https://www.nintendo.com/us/store/products/the-hidden-treasure-of-area-zero-dlc-for-pokemon-scarlet-pokemon-violet-dlc-switch/,NOT FOUND — check manually
138,The Legend of Zelda: Breath of the Wild – Nintendo Switch 2 Edition (Upgrade Pack),https://www.nintendo.com/us/store/products/the-legend-of-zelda-breath-of-the-wild-nintendo-switch-2-edition-upgrade-pack-switch-2/,verified
139,The Legend of Zelda: Breath of the Wild Expansion Pass (DLC),https://www.nintendo.com/us/store/products/the-legend-of-zelda-breath-of-the-wild-expansion-pass-dlc-switch/,NOT FOUND — check manually
